,CD4 T,CD14 Monocytes,B,CD8 T,NK,FCGR3A Monocytes,Dendritic,Megakaryocytes
23,ATP5H,H3F3B,HLA-DRB1,LEPROTL1,PLAC8,ISG15,RPS7,SH3BGRL3
24,TAF1D,JUNB,RPL15,STOML2,FCER1G,IDH2,RPS2,RGS10
25,SH3BGRL,STRA13,LTB,PPIA,RPS6,RPL35,RPL5,NRGN
26,MT-ND2,EDF1,LAPTM5,RPS12,TMSB10,ADI1,RPL23,C2orf88
27,MALAT1,RRS1,HLA-DQA1,HCST,ZNF32,UBE2D3,H3F3B,CD9
28,TRAPPC1,GSTP1,RPL5,ANKRA2,REEP5,MALAT1,GNB2L1,PTCRA
29,RPS27A,ASAH1,JUNB,RPS3,CLIC3,RPL10,RPL3,SAT1
30,RPL13A,ZNF394,RPL8,CCNI,ARHGDIB,SAMM50,SRSF7,GSTO1
31,RGCC,MT-CO3,HLA-DQB1,RPL17,GZMM,CDA,RPS5,SRGN
32,RPS28,NBR1,RPL23A,UBC,GZMH,C1QB,WHAMM,PTMA
33,RPS15,LY6E,RPS15A,DUSP2,CD7,GZMB,HLA-DMA,TALDO1
34,FAM210B,RPS9,TCL1A,CTC-444N24.11,ID2,SH3BGRL3,RPS8,VDAC3
35,MT-ATP6,PSMA7,BTG1,S100A4,CCL4,CST3,COMMD5,TMEM40
36,TCP1,S100A10,CGRRF1,B2M,PTMA,ABI3,S100A8,RUFY1
37,RPL35,BRI3,CD52,SH3BGRL3,XCL2,MYL6,HLA-DRB5,ARPC5
38,RPS10,TMSB10,RPL29,RP5-1028K7.2,KLRG1,PSAP,RPLP0,GP9
39,SRSF3,RPS16,RPL35,MT2A,HLA-A,FAM26F,HLA-DQB1,EOGT
40,EIF3F,RPS4X,LINC00926,NCR3,PSMC4,RPL7A,EIF3K,MPP1
41,ATP5G2,ATP5G2,EIF5B,MRP63,RPL35A,RPL12,NACA,CA2
42,JUNB,ZNF106,RPL11,MT-CO2,RPS7,RPL18A,NPC2,NCOA4
43,TMEM50A,FAU,HLA-E,MALAT1,HOPX,ATP5L,RPL10A,RAP1B
44,PPDPF,NKIRAS2,TPT1,IFI44,CD247,RPL30,RPS15,SPARC
45,MT-ND1,MS4A6A,RPL9,CD8A,GOSR2,RHOC,RPL14,TPM4
46,CD3D,RPS27A,SAFB2,ANXA2R,ITGB2,MT2A,CYBA,CFD
47,GLYCTK,FCN1,RPS5,RARRES3,MLLT11,DRAP1,IFI6,HLA-C
48,TMEM123,HLA-DPA1,GLG1,RPL36,EMP3,YBX1,SPCS1,MMD
49,RPS29,SNRPB,ISG20,FXYD5,IFITM2,CSTB,RPL9,RPLP1
50,JUN,C6orf48,RPL37A,HLA-A,RPS4X,COX5B,IRF7,CALM3
51,RPS15A,RPL13,CXCR4,RPL10,CALM1,MVD,RPL8,ITM2B
52,RPL31,RFXANK,CCDC107,RPL7,RPL24,ISCU,RNASET2,MYL6
53,LY6E,TNFSF13B,RPL24,ATP5E,NT5C,RPL37A,CUL4B,NAP1L1
54,CISH,ATP5O,PTPN6,CORO1A,CRTAP,LSM6,LSP1,PRUNE
55,APRT,S100A4,PTMA,HMGB2,IGFBP7,RAB8A,IL8,ODC1
56,PLP2,FAM32A,RPLP1,GZMH,ANXA6,C1QA,IRF8,FERMT3
57,GMFG,CHMP1B,KLF2,GPSM3,JUN,EIF1,RPL28,RPS19
58,HCLS1,PNRC1,RPL7,LAMP2,NACA,PPDPF,PLAC8,RGS18
59,CD40LG,OLA1,SLC25A3,DEF6,RPS2,LILRA3,TMEM165,CLDN5
60,MAL,CXCL10,RPS11,RPL28,RPL3,LDHA,PLD4,OST4
61,EEF1A1,RPL36A,CD48,RPS4X,RPL10A,CYBA,CLEC10A,H3F3A
62,NDUFC2,SRSF5,VPREB3,NDUFA4,CCL3,EFHD2,LILRA4,RHEB
63,VAMP8,FGR,HLA-DRB5,RPL18A,CD63,CASC7,S100A10,TREML1
64,RPL9,RHOA,HNRNPDL,RPS24,ANXA1,AIF1,ARPC3,LIMS1
65,PRDX2,TPT1,EIF1,ZRANB3,RPL29,SLC25A6,SERPINF1,LAMTOR1
66,EAPP,CTSS,RPS7,RORA,HSP90AA1,RPS15,FOS,PRDX6
67,NEAT1,ITM2B,RPL19,POLR2L,MT-CO1,RPL37,TYROBP,MYL9
68,RPL27A,THYN1,EIF3I,RPL4,TTC8,NDUFA11,VAMP8,MT-ND1
69,GALT,ARPC2,PWP1,UBXN1,PSME1,FCER1G,ITM2C,CTSA
70,B2M,S100A6,RPSA,UBE2D2,PPIA,SERPINA1,IL1B,MAX
71,NOSIP,CCL3,CAND1,FOS,SAAL1,MT-ND4,TAGLN2,ARPC1B
72,N4BP2L1,C19orf43,RASGRP2,CXCR4,ARPC5L,TMEM176B,GSTP1,GPX4
73,DDX17,CSF3R,TSC22D3,EIF1,EMG1,HLA-DRB1,LIMD2,TIMP1
74,CD69,CHIC2,JUN,APOBEC3G,ABI3,CCL5,CFP,PTPN18
75,GTF3A,EIF3K,HLA-DMB,RPS27A,RPL6,SQSTM1,RPL7A,ILK
76,CRIP1,CD14,EEF2,NFKBIA,SERF2,FKBP1A,EEF1A1,PPDPF
77,RPL14,TNFRSF1A,HLA-C,PGK1,KLF6,RPS21,FKBP3,PGRMC1
78,TMSB4X,SUMO3,BANK1,RPL27,RPS14,TPI1,PPIA,ARF1
79,RBPJ,SELK,EAF2,MOCS2,GHITM,RPL21,ZNF263,MAP3K7CL
80,CD3E,APOBEC3B,NACA,MT-ND5,IFITM1,ADAR,ZNF330,YWHAH
81,IL32,FYB,RPL31,C9orf142,CNBP,AP1S2,GPX1,AC147651.3
82,RPL41,CDC5L,CD69,RPL3,XCL1,SERF2,CAPNS1,PPIB
83,PTMA,CD63,ARHGDIB,RAN,EEF1A1,IFITM3,RNASE6,RPL35A
84,RPS13,TMEM208,EVL,RPL13,BST2,CD44,ALDH2,DNAJB6
85,NBEAL1,ANXA2,RPS21,RPS16,PTGDR,ACTG1,ZFP36,CMTM5
86,BTG1,RPL27,FCRLA,PHACTR4,XBP1,ZNF706,RPS4X,SEPT5
87,POLR3GL,KLF6,WTAP,HNRNPM,CIRBP,COX8A,CHCHD2,ITGA2B
88,TRAF3IP3,RPL6,SNX2,CD3D,RHOC,TBC1D10C,TXN,PDLIM1
89,RPS9,GPSM3,YBX1,EEF1B2,RPS19,TPM3,ATP5G3,H3F3B
90,LDHB,PPIL2,FAU,ANXA1,AKR1C3,WDR1,COMMD6,PARVB
91,ATXN7L3B,CTSZ,GUCD1,RPLP1,SELL,GABARAP,EIF4A1,PRDX5
92,RPL35A,CD74,FAIM3,LDHA,ACTB,APMAP,LAMTOR1,RPS11
93,FOSB,EIF4A1,SNX3,MT-CYB,PTPN7,S100A6,CLIC3,FCER1G
94,ARPC5,WDR83OS,LY86,GIMAP4,GIMAP7,BID,RPL32,MZB1
95,OCIAD2,POLR2G,TRPC4AP,NKTR,LIMD2,EEF1D,MYL12A,H2AFJ
96,SLC2A3,MT-CO2,RPS29,CLPP,PRSS23,C19orf53,HERPUD1,CDKN2D
97,FYB,ZFP36,HNRNPA2B1,METTL9,SIVA1,RXRA,GRN,FKBP1A
98,NAP1L4,RAC1,RPL34,GSTO1,RPL37,TUBA1B,HLA-DQA2,NT5C3A
99,CCDC109B,PSMD4,EIF4A2,PRR5,LSM6,ATP5I,EIF3L,NFE2
100,HMGN1,TALDO1,SAMD9L,ZAP70,DUSP1,LGALS3,CXCR3,ESAM
101,TOMM20,DEDD,TINF2,AMICA1,DYNLL1,PSMC4,ZNHIT1,CD82
102,GIT2,CD37,POLD4,ATP6V0E1,SF3B5,LAPTM5,ALOX5AP,HLA-E
103,RGS1,RPL23A,HLA-DQA2,C9orf16,ARPC3,DNAJB11,DBI,HIST1H2BK
104,COMMD6,RGS2,TOMM7,HNRNPA1,RPL12,RPL36AL,ID2,TPM1
105,AES,NOSIP,RPSAP58,PRDX5,EEF2,GIMAP4,TYMP,MIF
106,RPS8,EVI2B,FCER2,POLR3K,NDUFB2,ARL6IP5,AP2S1,CD99
107,CR1,EIF3M,DDX56,CCDC91,SCP2,ARPC1A,MZB1,CLEC1B
108,ARID4A,NCF2,P2RX5,UBA52,EFHD2,LRRC25,EEF1B2,CCND3
109,CORO1B,SNRNP35,SAT1,CFL1,PSMB9,PGLS,C1orf162,TGFB1
110,TRIT1,RPS14,NCF1,GLRX3,SLC25A3,PRR13,COX6A1,ACTB
111,TRABD2A,EXOC6,TAGLN2,ITSN2,RPS3A,RPLP1,CLEC4C,AP001189.4
112,RPL36A,MYADM,AKNA,USP8,ICAM2,ATP1B3,ALDOA,NDUFB7
113,SH3GLB1,COX4I1,CD72,SSR2,CTSD,CASP4,GADD45B,CCDC85B
114,MLLT11,EMC10,CLIC1,POLR1D,APMAP,MT-CO1,DNASE1L3,SERF2
115,RGS10,TRIM14,HMGB1,RPL36AL,PCMT1,MT-CO2,ARF5,CDC42SE2
116,EGLN2,VPS29,HVCN1,ANXA2,PGK1,FXN,SCT,LYL1
117,TTC39C,CST3,TXNIP,RAD51B,S100B,RPS26,TMED2,HIST1H2BJ
118,RPL18,CD99,STX7,MZT2A,PSMB8,APH1B,ATP6V0E1,MARCH2
119,C6orf48,RPL34,RPL10,RPS3A,STX5,ACAA1,SRSF2,C9orf16
120,SKP1,SGK1,SMIM14,RNPEPL1,PRDX5,MYL12B,AP1S2,TSC22D3
121,EDF1,GABARAPL2,GLTSCR2,TMX2,ACADM,RPL7,RPL17,SLC40A1
122,MRPL21,FOS,AL928768.3,EPN1,RPSA,NKG7,RPL4,DMTN
123,ACAP1,PCGF1,CYB5A,ABT1,PIM1,PKM,PPP1R14B,DYNLL1
124,SF3B1,HSD17B11,GNG7,RALY,DRAP1,CHCHD10,RPS9,TMEM140
125,COX4I1,ST20,RPL27,C12orf57,CCDC12,CTSS,APP,ASAH1
126,TMEM59,APOBEC3A,SNHG7,MX2,SCFD1,PABPC1,NDUFAB1,UBL5
127,SH3BP5,RPL31,EVI2B,NFE2L2,EEF1D,ATP6V0D1,LILRB4,RP11-367G6.3
128,DBI,CD48,ANAPC16,ATP5J,H3F3B,STXBP2,PTGDS,PLA2G12A
129,NDUFA12,GRN,MALAT1,TMED10,BTG1,ATP5H,PLSCR1,ETFA
130,ENTPD3-AS1,CEBPD,COMTD1,CD48,SUN2,RNH1,ARL4C,NDUFAF3
131,IGBP1,COX7A2L,TYMP,RPS2,CLIC1,ENO1,MRPL14,MFSD1
132,COTL1,ORMDL2,PNOC,GUK1,C19orf43,PPBP,C9orf142,FAM110A
133,GIMAP7,MPEG1,COQ7,BLOC1S1,PTPN6,POLR2I,RPL27A,ACTN1
134,RPL32,ZBP1,RPL22L1,DDX46,IL2RB,MS4A7,SRP14,MT-ND2
135,SOCS3,RPL3,RTFDC1,INTS12,LAMTOR2,TMED5,DBNL,SNN
136,POLR2E,MRPL9,ISCU,RABAC1,DDX5,G0S2,ATP6V1G1,RBX1
137,SNRPD2,CPPED1,HNRNPK,ATP5L,EIF3I,UBC,RPS23,PKM
138,CPQ,HLA-DMA,MYCBP2,CITED2,KLRD1,CSNK2B,RNF130,LY6G6F
139,RRAGC,NANS,SCAND1,PRDX3,ARPC2,HCLS1,RPL18A,F13A1
140,CEBPB,SAT2,DDX5,HSPA5,BIN2,ISOC2,OAZ1,MAPK14
141,EIF4A1,TOMM7,C15orf57,MKRN1,LCP1,UBE2L6,GAA,AP3S1
142,RPS20,MRPL20,STK17A,AHSA1,CHMP2A,EVL,COX8A,GLA
143,VPS28,GPX4,FAM65B,BSG,RAP1B,GNAI2,RNF181,C19orf24
144,ANXA5,HIGD2A,SRSF5,LINC00152,TMBIM6,UFC1,SSR4,TUBA1C
145,MRPS36,RPL4,FAM26F,BTF3,RPS24,RASSF5,CEBPD,TMEM219
146,NSMCE1,POLR2J,MEF2C,IL7R,MRPS7,ARF6,SEP15,RPL36A
147,C1orf162,NAAA,HLA-F,MYL12B,RPL23,GDI2,H2AFY,MTPN
148,LAT,LILRA5,GNB2L1,ATP5A1,GAPDH,COPE,BAG1,TMEM91
149,STK17B,ST13,PTPRCAP,ID2,PPP2R5C,IFITM1,CSTB,WDR1
150,GUSB,NHP2L1,RPS6,ADRM1,MATK,COX7C,RPL29,YBX1
151,RGL4,GNG5,PEBP1,MT-ND3,MRPL23,OAS1,CIR1,PYCR2
152,PTGES3,UCP2,RPL13,HNRNPH1,FIS1,LAP3,TMED10,TLN1
153,RTN4,CLNS1A,UBA52,FUS,SERBP1,PRDX1,WDR61,HSP90AA1
154,CAPZB,METTL9,LRRFIP1,PPP2R5A,RPL18,C9orf142,NDUFS3,HIST1H1C
155,POLE4,S100A11,RPL36,HIST1H1C,GLRX,MNDA,RPS3A,PNMA1
156,AIF1,SRSF2,PKIG,PACS1,RPS15A,GLUD1,RPS10,GP1BA
157,SRP9,UBE2D1,LAMTOR4,ATP5J2,SLC25A5,RP11-792A8.4,UBA52,CAPN1
158,TBCC,RWDD1,MARCH1,SERINC1,RPL11,CCT7,NCF2,ICAM2
159,LYPLA1,FPR1,RHOA,RNF14,CD164,MRPS26,TGFBI,TRAPPC1
160,H2AFZ,RPS20,ARPC3,FLNA,CAST,HLA-F,CCDC50,RAB10
161,RPL8,RPL23,BBX,SLC3A2,LTB,NME3,DDX5,VAPA
162,CCR7,TMEM219,PPA1,TIGIT,RPL4,TIMM13,BST2,RASGRP2
163,DNAJA1,UBXN4,HSP90AB1,UBE2D3,RBL2,SOD1,FCER1G,CALM1
164,RPL11,EIF3F,MARCKSL1,YES1,GMFG,C5AR1,GABARAP,RHOA
165,LDLRAP1,HLA-DRB5,PLEKHF2,HNRNPK,LSM1,VAMP8,COX6B1,EFTUD2
166,ANP32B,HMGB2,RPL37,GNAS,CD53,ATP5E,COA5,SMOX
167,CSRNP1,LINC00936,RBBP7,NDUFA5,CHCHD2,NDUFA2,CYB561A3,SNAP23
168,DERL1,HSPA5,RP1-313I6.12,CD3G,ARHGDIA,DCTN3,GLIPR1,C9orf89
169,BIN2,MZT2B,RAN,MLX,APH1A,CSK,CYCS,POLR2L
170,MED28,ATP6V1G1,CXXC5,HNRNPC,MYO1F,MOB1A,RNH1,RPL35
171,BIRC3,CNPY3,HLA-DMA,COX7A2,C1orf162,H2AFY,GRINA,FXYD5
172,LZTS2,IFI27,NBEAL1,SAMD3,CFL1,GNAI3,CHMP5,NENF
173,FERMT3,LY86,SMAP2,OCIAD1,ALOX5AP,MT-ND2,S100A6,RNF11
174,IFI6,RPL41,KIF5B,TMEM248,GPR56,HSP90AA1,PLP2,RP11-879F14.2
175,MYADM,C1QBP,PDLIM1,FDPS,IL2RG,CEP85L,EIF3J,PTBP1
176,ATAD1,RABAC1,SYPL1,PFDN5,SDF4,ANKZF1,BID,RBBP6
177,NDUFS5,SELT,ARL4A,CDV3,SNX3,SLA,PSME1,STXBP2
178,ETHE1,AP2S1,LAT2,HAUS1,HAVCR2,NINJ1,KLF4,RABGAP1L
179,STAT1,FAM107B,ZCCHC7,RPS26,GYPC,CYTIP,SEC61B,TPST2
180,RCSD1,TMEM256,IFT57,TIAL1,LUC7L3,SLC16A3,ANXA2,SOD2
181,ANAPC11,ATP5J,QRSL1,RSF1,CD99,SNHG15,SPCS2,RPS28
182,FAM96A,SRSF9,RPL17,NDUFV2,WAS,STX7,PSME2,GMPR
183,TAP1,CYBA,CD22,MRPL51,VAMP2,CHMP4B,DNAJC8,FAM212A
184,UBE2B,GSTK1,CCNI,PILRB,SELM,KARS,TCL1A,TPM3
185,TFG,UBXN11,TANK,MCL1,WDR45,NDUFA1,CALM2,WBP2
186,SOD1,CLTA,ANXA6,HSP90B1,EIF4A2,STK10,POLR2L,SNX3
187,CYLD,GAPDH,CD53,PSMB2,PLEKHF1,PRPF18,GSN,RAB32
188,TCEA1,ALDH2,SP140,SMIM7,CSNK2B,PDCD2,RPL37,RAB4A
189,RNASET2,NDUFB1,SYNGR2,GIMAP5,HSH2D,BAX,MRPL17,LGALSL
190,RPL13,CALHM2,SP100,MMADHC,DNAJC19,HCST,NDUFA11,STX11
191,CHURC1,DYNLT1,ADA,S100A10,C5orf56,TSPO,PPIB,RHOC
192,PASK,THEMIS2,CD55,S1PR4,PIN1,GLRX,GDI2,ERV3-1
193,ATP5O,CTD-2035E11.3,BTK,MANF,COX5B,SPI1,FCGRT,GFI1B
194,HP1BP3,YWHAE,ZFP36L1,TBCA,PPP1R18,DTYMK,PSMB10,SUPT4H1
195,GPS1,ATP5E,SWAP70,CD44,MRPS34,METTL13,TRMT112,SNCA
196,CHMP4A,CASP1,LYST,SPSB3,ICAM3,SEPT9,H1FX,ALDOA
197,EIF4H,NDUFB11,ORAI2,TMEM66,ARRDC2,ICAM2,LCP1,NDUFB9
198,GAPDH,ASGR1,SMDT1,P4HB,TOMM22,RHOB,SERF2,ADIPOR1
199,U2AF1,ANAPC16,ELOVL5,SNX17,TMEM141,SLC7A7,UCP2,BRK1
200,C14orf80,RBM3,HLA-DOB,MRPL32,HSPA8,MTCH1,APLP2,FAM212B
201,NOL7,HLA-DRA,FCN1,HTATIP2,ATP5F1,DUSP23,ANTXR2,WBSCR22
202,THRAP3,PYCARD,FCRL1,RPL34,MYL12A,PLAC8,RAC1,USF2
203,IL10RA,RPL7,SNRPD2,COPS6,PLEK,PCBP2,FAM49B,SPOCD1
204,SBDS,BLVRB,C16orf74,NCOR1,ARL6IP1,PPIB,POMP,PTGS1
205,NEDD8,PFDN5,MRPS18A,ZNF92,PNRC1,IL4R,VIMP,SKP1
206,MT-CO3,CTSH,C19orf43,SERBP1,ORMDL3,PNISR,MESDC2,GRSF1
207,PAIP2,BNIP3L,IFIT5,DPY30,HNRNPDL,EIF2S2,MIR24-2,SCGB1C1
208,RPS27,PDIA6,NSA2,IER2,SEC62,VMP1,CYC1,CTNNAL1
209,DARS,BLOC1S1,CD40,IFI27,SRSF3,NDUFA5,MRPL55,MKRN1
210,TIMP1,SCO2,ATP5O,CTNNB1,ATP5G2,GIMAP2,RPS6KA1,CHMP6
211,EEF1D,ZNF703,POU2AF1,STX18,SSB,RPSAP58,CNPY3,CYB5R1
212,EMC7,HSD17B10,CD82,MYLIP,HINT1,CALM3,CYTH4,RTF1
213,PIGT,RPS13,YBX3,RAB8A,RER1,TCEB2,KDELR2,GLUL
214,PCNP,EWSR1,C1QBP,NAA20,HCST,ALDOA,SEC11C,RAB37
215,RPS12,SMIM7,EIF3J,BEX2,CCND3,LSP1,OS9,BBC3
216,ARVCF,DOK2,ZFAS1,ANAPC13,GLTSCR2,VASP,ATP6V1E1,ATF4
217,PSMB8,NENF,SCPEP1,PRMT2,ARL4C,PTGES3,DDX46,UQCRH
218,SNF8,MRP63,GABARAPL2,COX6A1,SMARCA4,C19orf38,CAPG,AATK
219,XXbac-BPG299F13.17,BTF3,PSMB8,TPT1,KLF2,DERL1,PYCARD,CHCHD10
220,TAGAP,TUBA1A,WIPF1,TBCB,CDC42SE1,PSME2,TPGS1,LDLRAP1
221,IK,PHACTR1,STAU1,KLHDC2,NDUFB10,CALM2,SDHD,XPNPEP1
222,ARGLU1,RANBP1,POU2F2,HLA-F,COX4I1,CAMK1,PARK7,RBCK1
223,NDFIP1,RPS25,TMEM243,TRAPPC3,HLA-E,OST4,EIF4A3,TUBA8
224,FLT3LG,CAP1,CALM2,CNN2,GCHFR,DNAJC15,LAMTOR2,PAIP2
225,SH3KBP1,KLF2,MIS18BP1,SFT2D1,CX3CR1,TUBB,TSPO,PSMD7
226,UXS1,GNB2L1,CIRBP,CCT5,SRSF2,ZMAT2,C21orf2,DAPP1
227,RBM8A,IL17RA,UQCRC2,TSC22D3,ZBP1,VKORC1,GABARAPL2,SEC61B
228,IRF7,COMMD6,CNBP,TGFB1,MTDH,ANXA5,COPE,FHL1
229,ATP1A1,PHPT1,RAC2,DCAF11,PDIA3,GUK1,CD164,AMD1
230,GBP1,FAM50A,CD19,STK17A,DCTN3,PFDN5,CTSC,HGD
231,RPS11,CLTB,CYTH2,MSI2,PABPC1,CIB1,ATP6V0B,SPINT2
232,TMEM66,CCNI,AES,LCP1,UCP2,RAB11B,PHACTR1,C6orf25
233,SREK1IP1,DDX5,PFDN5,NDUFB3,GNB2L1,EMP3,TSPAN13,DAB2
234,ISG20,TIMP1,HCK,UFC1,PSMA1,SOD2,HSPE1,VKORC1
235,DEGS1,RHOG,TAF7,ST3GAL1,FAM96B,LYL1,RNF7,DBNL
236,PTPN2,ZFP36L2,SDCBP,MRPS16,LSM2,CMTM3,ADI1,YPEL5
237,ERP29,DHPS,TTN-AS1,UNC45A,TADA3,EIF3G,CD302,GALNT10
238,FKBP1A,PSMB6,C11orf31,KLRB1,TGFB1,SH3KBP1,BLVRB,EIF1B
239,ITGB1,SNX3,RABAC1,SPCS2,RAMP1,IFI44L,C1orf43,DSTN
240,SCML4,EGLN2,SNAP23,ATXN10,PRMT2,ATP5B,PFN1,EPB41
241,MRPS21,CXCR4,SPIB,OST4,AHNAK,FKBP8,SNRPD1,CBX3
242,SNRPC,SUPT4H1,TSPAN3,CLN3-1,HNRNPA1,CD3G,CIRBP,EXOSC7
243,TBC1D10C,EIF5,ARF6,LDHB,ARHGEF3,PQLC3,COX6A1P2,LMNA
244,NDUFS3,CLEC7A,SEC62,C10orf32,TMIGD2,MRPS16,MT-ND6,C16orf13
245,C14orf166,SSR2,CMPK1,PRR4,CELF1,MPC1,DCPS,DAD1
246,ITM2B,MGMT,MED9,NDUFA11,IFI44L,NUP50,CSF2RA,RNF115
247,LINC00936,JUND,PPAPDC1B,FAM96B,ECI2,TPM4,THOC6,GAS2L1
248,CGGBP1,IFI30,MRPL45,STK11IP,FNBP1,ZNHIT3,LRRC26,SVIP
249,MT-CO1,CCT5,C11orf73,POMP,AOAH,SPRTN,AKAP8,AGPAT1
250,EBPL,RAB24,PNISR,ABHD14A,MIF,SULT1A1,SPI1,NUDT1
251,PIM2,SNRPD1,CKS1B,RPL8,IER2,HSPA8,PPM1K,MT-ATP6
252,COX7C,CNPY2,AIM2,CDC37,UBA2,LYST,MSRB2,AP2M1
253,SIT1,CHMP4A,METTL21A,TRA2B,COMMD10,LYSMD2,TNRC6B,CAPZA2
254,PMVK,ANXA4,ARHGAP24,RPSAP58,TPST2,ZYX,CCDC88A,MT-ND5
255,HNRNPA3,CARD16,MRPL40,RPS4Y1,EID1,CST7,TPM3,GNB5
256,MYL12A,CD97,PABPC4,CHST12,ISG15,IL10RA,RPL39,CLIC1
257,EWSR1,CBX3,MMADHC,CD2,FAM49B,STX8,HSP90B1,ATP5I
258,KARS,BUD31,TNFRSF17,HNRNPR,EIF3L,FAM49A,CNDP2,INSIG1
259,YBX1,RPL18,UIMC1,NDUFB8-1,EIF6,LILRB2,MPEG1,FKBP11
260,SDHB,SEC61B,RPL30,HENMT1,PDCD6,CCDC85B,MCL1,ENKUR
261,GYG1,PRDX6,FCGR2B,ATP5I,GNAI2,MED10,RPS6KA4,ABCC3
262,SBNO1,SLC11A1,DPY30,STAMBP,HNRNPM,VAMP5,DGUOK,REEP5
263,SELPLG,NR4A1,ADAM28,MRPL9,ACTG1,OSCAR,SNRNP200,TMPO
264,RNF167,NDUFB9,NOTCH2NL,SNRPF,CMC1,ARHGDIA,GNB1,FKBP8
265,THEM4,NDUFS7,UBE2L6,RPL14,NOP58,RIN3,C14orf1,CCNDBP1
266,USP14,SERPINB1,PPP1R2,ATP5G3,MAPK1IP1L,GPS1,C9orf16,NAPSA
267,PPP1CA,TMSB4X,LYL1,RPS8,CD300A,SERBP1,SLC20A2,HHEX
268,PBXIP1,ZFAND5,DYNLRB1,TUBA1B,TRMT112,TMEM59,FDFT1,ADI1
269,NUP107,SF3B14,LBH,C15orf57,CIAPIN1,TPP1,IFI44L,PRDM1
270,C19orf52,CARS2,BACE2,METTL8,VPS28,POLR2C,COMMD3,PSMB9
271,CCM2,SEPW1,LTA4H,YWHAH,SRP72,LYN,SON,AL928768.3
272,TRADD,SMC4,ATP5J,G6PD,WBP2,SRSF3,PHB,MCUR1
273,KIAA1551,CECR1,BIRC3,BST2,FBXO6,ATP5EP2,ZNF706,CD27-AS1
274,RBM6,MIEN1,DCK,GADD45B,ZAP70,AKAP13,NDUFV2,GNPTAB
275,EIF3E,PSMB3,WARS,DENND2D,LAPTM4A,SPG7,GAS6,MAD2L1BP
276,GRAP2,GMPR2,PRKCB,IQGAP2,MOB2,CD53,NFKBIA,KIAA0125
277,MATR3,FLYWCH2,VAPA,CHMP5,PSME2,ARFGAP3,ZDHHC16,COX7B
278,ZNF32,PLBD1,CIRH1A,TSPO,OSTF1,ANP32E,TMEM109,ZNF524
279,CD52,FOLR3,ARL14EP,LSM7,BAZ1A,ATP5G3,TIMM8B,HSPB1
280,SERPINB6,RILPL2,SIGLEC10,MRPL55,GGPS1,PLEKHO1,EIF3I,HIST2H2BE
281,GSDMD,CHCHD5,ANKAR,RBM25,STAT6,DARS,ID1,LAMTOR4
282,MRPL33,IGSF6,IFNGR2,ATXN3,RPL41,TXNDC12,MORF4L1,BCAP31
283,RPS19,BLOC1S4,WDYHV1,NME3,PRPF8,NAPRT1,NDUFC2,GTPBP2
284,VPS26B,NDUFB7,AC079767.4,GRAMD1A,ADSS,PHKG2,UCHL3,GNAS
285,MPHOSPH8,CAPZA2,NHP2L1,AP3S1,SNF8,COPS6,ACTR1A,NDNL2
286,PSMB9,GTF3A,CEPT1,JMJD6,YIPF3,NUDT16,ARL6IP4,PREB
