,CD4 T_names,CD4 T_scores,CD4 T_pvals,CD4 T_pvals_adj,CD4 T_logfoldchanges,CD14 Monocytes_names,CD14 Monocytes_scores,CD14 Monocytes_pvals,CD14 Monocytes_pvals_adj,CD14 Monocytes_logfoldchanges,B_names,B_scores,B_pvals,B_pvals_adj,B_logfoldchanges,CD8 T_names,CD8 T_scores,CD8 T_pvals,CD8 T_pvals_adj,CD8 T_logfoldchanges,NK_names,NK_scores,NK_pvals,NK_pvals_adj,NK_logfoldchanges,FCGR3A Monocytes_names,FCGR3A Monocytes_scores,FCGR3A Monocytes_pvals,FCGR3A Monocytes_pvals_adj,FCGR3A Monocytes_logfoldchanges,Dendritic_names,Dendritic_scores,Dendritic_pvals,Dendritic_pvals_adj,Dendritic_logfoldchanges,Megakaryocytes_names,Megakaryocytes_scores,Megakaryocytes_pvals,Megakaryocytes_pvals_adj,Megakaryocytes_logfoldchanges
10,RPL3,27.299189,4.336775287308891e-164,3.498502134714949e-161,54.682205,LGALS1,29.789618,5.3246367081400946e-195,6.085172317952771e-192,46.826912,HLA-DPA1,23.71558,2.4904754879030597e-124,3.1049437128275056e-121,33.239525,CD3D,14.55097,5.758044209789317e-48,7.1787107539137e-45,11.432075,HLA-A,16.022802,8.856681249150104e-58,9.343117434680347e-55,49.23302,FTL,17.477968,2.1088112238012257e-68,2.6291124657463645e-65,417.0406,HLA-DQB1,7.933944,2.122931638891062e-15,2.6467167723410934e-12,20.999472,RGS10,6.1112347,9.886322693278598e-10,9.992881560052564e-07,65.326195
11,RPL30,27.241467,2.0974968844187698e-163,1.5980595707177226e-160,30.043034,GSTP1,28.443233,5.908828226167617e-178,6.233359253358669e-175,22.605999,HLA-DRB5,19.837755,1.4060033132517945e-87,1.377280674138222e-84,15.045234,PTPRCAP,13.771901,3.761822260241067e-43,4.299135873078832e-40,12.639127,CD247,15.606445,6.580239881391712e-55,6.445814980957567e-52,18.698952,SERPINA1,17.15637,5.63261742088714e-66,6.437142942503854e-63,15.095769,HLA-DQA2,7.3119636,2.6326623947040697e-13,3.008694340080968e-10,9.861411,TAGLN2,6.068526,1.2908982105660859e-09,9.992881560052564e-07,76.93027
12,RPS27A,26.821215,1.8281699555703053e-158,1.3195538300363772e-155,45.507114,S100A4,28.353416,7.596244647653041e-177,7.441064221279557e-174,66.520935,TCL1A,18.304682,7.593477324714468e-75,6.508559251945888e-72,21.02996,HCST,12.526773,5.328705481007176e-36,5.621374382040955e-33,7.478033,FCGR3A,15.403276,1.555832458262172e-53,1.422445755507162e-50,16.151718,CTSS,17.015965,6.253507522989086e-65,6.596969397713255e-62,31.8243,LSP1,7.217554,5.293099951994246e-13,5.184969481546363e-10,7.877727,MYL6,5.8907537,3.844385405560246e-09,2.1088760580741285e-06,74.32725
13,RPL32,26.80648,2.7153292528239993e-158,1.8619012686614163e-155,51.467937,AIF1,28.154787,2.0939261117912637e-174,1.9144068464736928e-171,30.456263,RPL18A,17.357111,1.7427435939006776e-67,1.4058815086325819e-64,47.071827,LYAR,12.398108,2.6756840699339136e-35,2.6210236667909777e-32,5.4179134,SPON2,14.821022,1.0714126175353706e-49,7.733343493094775e-47,17.407745,S100A11,16.973286,1.2947912318151893e-64,1.2683404966509646e-61,27.40557,LYZ,7.1857166,6.685548473257012e-13,6.112374117483112e-10,137.76099,OAZ1,5.8502345,4.908799997693448e-09,2.3213545920126877e-06,151.85445
14,RPS15A,26.792547,3.946668453971612e-158,2.577362437036509e-155,39.281895,TYMP,27.998096,1.7138252406074362e-172,1.4689624593556487e-169,20.825178,LINC00926,16.704102,1.223564521749082e-62,8.831559921719427e-60,13.7126665,GZMM,12.044015,2.0855391428906166e-33,1.9067389203734612e-30,5.2401085,HLA-B,14.467146,1.9541460730438483e-47,1.2181436020783334e-44,28.152264,OAZ1,16.850492,1.0404506119821507e-63,9.512493128482143e-61,42.938152,CLEC10A,7.0512075,1.7737148788797854e-12,1.520295365559836e-09,11.417195,GP9,5.7471123,9.07804721604925e-09,3.5570382720256976e-06,56.930393
15,RPL9,26.680864,7.849738876751052e-157,4.893241770716542e-154,33.75539,OAZ1,27.815845,2.7903758938586468e-170,2.2510126475516166e-167,39.25782,HLA-DMA,16.568403,1.1791663206587082e-61,7.700517581673106e-59,10.642068,CD8A,11.998808,3.604514822245589e-33,3.0895197670172505e-30,7.032802,GZMM,14.42077,3.8304466993007255e-47,2.283945479748267e-44,12.139713,CD68,16.242357,2.5301433818112463e-59,2.041081549303496e-56,10.565874,AP1S2,7.0250993,2.1391442126005644e-12,1.725660219506126e-09,8.513846,HIST1H2AC,5.7337885,9.82118103446561e-09,3.707430786241578e-06,90.46468
16,RPLP2,26.663246,1.256660788199608e-156,7.492976543204097e-154,39.80799,LST1,27.74065,2.2593587625191797e-169,1.7213803371771128e-166,25.18367,RPS23,15.119027,1.2132110397061936e-51,6.162213406863236e-49,29.376509,HLA-B,11.599265,4.1563115580012544e-31,3.166647594801622e-28,13.460131,PLAC8,13.833561,1.5990430830082535e-43,8.121954385324143e-41,14.808499,S100A4,16.07159,4.035973853277778e-58,2.9131234433606023e-55,71.08718,GRN,6.967484,3.2265964566742e-12,2.458307989268332e-09,6.5406723,CD9,5.7306857,1.0002547695124573e-08,3.707430786241578e-06,93.18675
17,EEF1A1,26.193462,3.1546025948465806e-151,1.8025924994052504e-148,41.91682,GPX1,27.706036,5.905784692400432e-169,4.262733224819975e-166,20.664698,RPS11,15.013538,5.986670802875959e-51,2.932185835380032e-48,17.468298,KLRG1,11.306836,1.21387867541059e-29,8.761648502410964e-27,5.5384984,CCL4,13.774905,3.608585438750782e-43,1.7674335966795794e-40,28.056656,CST3,15.8180065,2.337764254038463e-56,1.5266713799944513e-53,55.374397,GPX1,6.9206643,4.495300659587967e-12,3.2446606971362834e-09,12.694709,MYL12A,5.692722,1.2502986129337168e-08,4.2866487944432485e-06,80.53244
18,RPS18,26.07673,6.695996601158918e-150,3.673155895531736e-147,54.11109,CTSS,27.631172,4.69931915560597e-168,3.2223231449990135e-165,26.557102,RPS5,14.756845,2.7798164624563384e-49,1.270746765537541e-46,25.341969,MALAT1,11.049263,2.2102276333757734e-28,1.5155530882057678e-25,147.6503,CD7,13.615795,3.2261610604340733e-42,1.5256404407859614e-39,13.928547,TIMP1,15.765226,5.397836099835636e-56,3.3648147396884505e-53,16.834326,VIM,6.903369,5.078353456091121e-12,3.4822269648416817e-09,32.61867,CCL5,5.6826835,1.3259748137648543e-08,4.3296234752312406e-06,107.38331
19,RPS29,25.843964,2.8445392168845465e-147,1.5003850315521026e-144,17.142914,SAT1,26.292082,2.3623515164070618e-152,1.4726040316366566e-149,29.856754,VPREB3,14.55383,5.522252008318506e-48,2.3666301263149996e-45,11.354374,PRF1,10.198218,2.019430835617145e-24,1.2041075860718925e-21,3.92631,UBB,13.446559,3.2253587612449614e-41,1.3403809106579818e-38,16.363241,RP11-290F20.3,15.760527,5.8146426793516325e-56,3.46704390020123e-53,9.552482,GSTP1,6.846084,7.589888505363531e-12,4.956558617264546e-09,14.688932,ITM2B,5.577371,2.441808327271717e-08,6.351513867316113e-06,47.62824
20,RPL13,25.492819,2.3680378474872496e-143,1.2027878163125977e-140,72.38112,S100A11,26.116726,2.3543320357306176e-150,1.4037960668699864e-147,21.851728,HLA-DQA2,14.388606,6.1012988060624775e-47,2.535551873525479e-44,8.199208,CD99,9.9849615,1.773693069855535e-23,1.013517781666617e-20,4.743333,SRGN,13.016628,9.842151087801074e-39,3.6479800004892953e-36,15.817362,CFD,15.662205,2.7422254453318815e-55,1.5669533232200592e-52,12.949234,CPVL,6.551618,5.691691703283171e-11,3.547993637219337e-08,6.116969,SH3BGRL3,5.5764585,2.45464660177741e-08,6.351513867316113e-06,113.235016
21,RPL27A,25.2294,1.9064189580264002e-140,9.015389513922087e-138,31.576315,COTL1,25.929667,3.083736103660633e-148,1.6916142770240768e-145,26.258589,HLA-DMB,13.895106,6.782266837245726e-44,2.7356472766467026e-41,7.4993315,GZMH,9.878616,5.1539448580897793e-23,2.8272479913537296e-20,13.832598,ITGB2,12.916606,3.627956862279435e-38,1.3093105370868468e-35,12.638506,CEBPB,15.597161,7.610340925478648e-55,4.174728618080568e-52,14.933642,HLA-DMB,6.389458,1.6647459910348504e-10,9.926228922196495e-08,4.867428,ACTB,5.394671,6.864926943982724e-08,1.448393970919678e-05,432.66562
22,RPL21,24.858343,2.100865294004596e-136,9.603755547326344e-134,40.05858,PSAP,25.854769,2.1504654750663325e-147,1.1342878278869108e-144,19.038597,LTB,13.799104,2.5804127877275103e-43,9.829939158581966e-41,15.920677,LCK,9.7512045,1.822920810921019e-22,9.61520615421956e-20,3.8781195,HOPX,12.655104,1.0483758476064636e-36,3.423196755732153e-34,13.166927,SPI1,15.475123,5.1074950173957e-54,2.694007179560178e-51,10.74347,ANXA2,6.364451,1.95989317164696e-10,1.1199156231652671e-07,9.441889,H3F3A,5.3658333,8.057642346879807e-08,1.6492911514195473e-05,34.17995
23,RPL23A,24.730795,4.989903437837788e-135,2.207468895048627e-132,35.220627,FCER1G,25.608496,1.22691880113067e-144,6.231838681002225e-142,21.091171,BANK1,13.6591,1.7817327044865008e-42,6.2653031562379156e-40,8.043238,RARRES3,9.097081,9.279231364854221e-20,4.2418459645870264e-17,5.8259063,ID2,12.040263,2.182592183307425e-33,6.108585551403679e-31,10.62803,ACTB,15.455028,6.978206688417292e-54,3.544412093516842e-51,98.60353,H2AFY,6.3139963,2.7192020047603897e-10,1.4916454517313593e-07,4.737353,PRDX6,5.272749,1.3439519548459475e-07,2.541958838067174e-05,29.740282
24,RPL13A,24.637424,5.019564335557121e-134,2.1511970405571984e-131,69.33711,CYBA,25.30894,2.5465512305765994e-141,1.1641134525375828e-138,27.702042,HVCN1,13.259431,3.979040400524873e-40,1.2992514298285264e-37,6.8887486,MYL12A,8.975492,2.820895320622329e-19,1.172295709909534e-16,6.80945,PFN1,11.989686,4.024281585069892e-33,1.1037799531529699e-30,26.910618,TYROBP,15.426017,1.0941789140227996e-53,5.35913200961024e-51,43.890568,LGALS1,6.199978,5.647117652821477e-10,2.978637365030528e-07,26.03142,AP001189.4,5.2683687,1.3764141020895208e-07,2.541958838067174e-05,26.160196
25,RPS3A,24.605564,1.1013382001233599e-133,4.576894568633866e-131,45.47275,NPC2,25.204405,3.5842262588768804e-140,1.5856154488463723e-137,16.321932,CXCR4,12.376777,3.490826246913752e-35,1.0185785351101104e-32,11.770372,HLA-E,8.890334,6.092522685149474e-19,2.3872244601182826e-16,9.580972,GZMH,11.952359,6.310793276880078e-33,1.6969846862575174e-30,14.349329,TYMP,15.244717,1.7850691283928714e-52,8.160146008926613e-50,13.688066,GABARAP,6.1094236,9.999159934580276e-10,5.078832568253108e-07,7.1160617,ITGA2B,5.2669086,1.3874023973083816e-07,2.541958838067174e-05,41.3147
26,LTB,24.126352,1.3226373294084353e-128,5.0385134265298e-126,22.67902,CFD,24.38644,2.381897896559455e-131,9.60745522159305e-129,13.002874,LAPTM5,12.347938,4.997605136574829e-35,1.4278574342289002e-32,12.671424,CD3E,8.450842,2.8920976680115765e-17,1.0169801902336093e-14,4.860535,APMAP,11.537672,8.520014715331453e-31,2.0498856457202733e-28,7.8325186,MS4A7,15.226349,2.3643318045767085e-52,1.0459498828375802e-49,12.212711,LGALS2,6.026801,1.6723638482696436e-09,7.723452513606043e-07,7.291159,OST4,5.2605205,1.4364819925461082e-07,2.558430395555497e-05,29.547861
27,CD3E,23.946337,1.0088937375028985e-126,3.6410443989775657e-124,7.853862,GABARAP,23.712801,2.660470132236925e-124,9.601496682499259e-122,12.766907,RPL13A,12.305956,8.413462116672276e-35,2.3547391728172163e-32,52.65844,PFN1,7.976777,1.5020390634783264e-15,4.681582662850402e-13,12.742148,CD63,11.480739,1.6486511121422983e-30,3.8393047812087973e-28,9.859992,RHOC,15.169192,5.656873109943721e-52,2.3508593281747938e-49,10.941381,ACTB,6.025149,1.6895404361104074e-09,7.723452513606043e-07,70.50216,TUBB1,5.2555923,1.475486610608318e-07,2.5613700478332243e-05,94.56523
28,RPL35A,23.738503,1.4443141451568008e-124,5.078801073507787e-122,21.547375,GRN,23.573353,7.234084432256424e-123,2.5438008693324256e-120,11.365529,RPS8,12.140275,6.460876027048254e-34,1.7720890766987953e-31,22.518236,APOBEC3G,7.751592,9.074750858921393e-15,2.539461608888334e-12,5.289722,CLIC3,11.480577,1.6517353222350813e-30,3.8393047812087973e-28,12.202993,NPC2,15.135914,9.386728612185863e-52,3.7861645937504975e-49,12.827154,CTSH,5.980753,2.2210825502391536e-09,9.82578261096121e-07,4.185768,CLU,5.246832,1.5473715716594662e-07,2.619833794288632e-05,114.22818
29,RPSA,23.61863,2.480663777592301e-123,8.504955761475205e-121,23.8854,AP1S2,22.460941,1.000467483996334e-111,3.3464417257379816e-109,11.010755,RPL15,12.022328,2.712193206769656e-33,7.293140713262561e-31,23.20885,CD8B,7.7490444,9.258646670877693e-15,2.539461608888334e-12,5.2222486,XCL2,11.457901,2.1465295646103534e-30,4.906251074844398e-28,10.682807,LGALS1,15.008799,6.430214939633258e-51,2.5195419337751572e-48,31.378607,FCGRT,5.8958173,3.728310515417716e-09,1.597814075263705e-06,4.1719933,RUFY1,5.2165337,1.8230236405511038e-07,3.012162193556366e-05,33.99502
30,RPS13,23.61067,2.9945967541115015e-123,1.0016560947776861e-120,22.777529,CD14,22.267052,7.711101644703709e-110,2.459303440824806e-107,12.904342,ISG20,11.72651,9.322327693307052e-32,2.412196263887036e-29,7.281938,HOPX,7.5998783,2.964092188547919e-14,7.970502014460031e-12,4.3997283,MYL12A,11.204317,3.883386153537596e-29,8.730616017969605e-27,16.687786,STXBP2,14.988432,8.739257438257258e-51,3.3291715696738894e-48,9.715519,AP2S1,5.8147373,6.0729144782224835e-09,2.523756034980095e-06,4.4827085,ARPC5,5.205948,1.9300896288813363e-07,3.126297331056456e-05,28.700155
31,RPS20,23.510708,3.1697577650489116e-122,1.035001380711447e-119,18.289885,GAPDH,22.258663,9.297829954844956e-110,2.8979645454714485e-107,26.100264,RPL8,11.684452,1.5306354927726989e-31,3.887247249608295e-29,19.633835,CD2,7.5296016,5.089537209259003e-14,1.3169417601467541e-11,3.6059005,RARRES3,11.190097,4.5593445291060025e-29,1.0084975947122536e-26,9.0405035,TMSB4X,14.761266,2.6034956768748637e-49,9.64982154396267e-47,158.97063,CAPG,5.7804766,7.448926231505922e-09,2.9187021239677778e-06,5.026768,MPP1,5.205218,1.9376934019235725e-07,3.126297331056456e-05,33.538464
32,RPS4X,23.466997,8.86580550190768e-122,2.8275734105386496e-119,33.72155,MS4A6A,22.212612,2.594141769867582e-109,7.905791162658672e-107,13.392423,FCER2,11.354576,7.038065242714999e-30,1.7549095770653364e-27,9.583455,UBC,7.1919255,6.388394800871146e-13,1.5370253736692438e-10,5.566444,KLRD1,11.17884,5.176226947836422e-29,1.1267742279782331e-26,9.295541,ARPC3,14.741871,3.470341508840833e-49,1.252427985585347e-46,19.289106,ARPC1B,5.6641445,1.4775987166754415e-08,5.476699675807299e-06,9.536149,ARPC1B,5.1931715,2.0674155987880343e-07,3.296806688578965e-05,75.138405
33,RPL11,23.3786,7.056245312416568e-121,2.1993033685109276e-118,40.945362,TSPO,22.139704,1.3109509835882273e-108,3.908343867158467e-106,12.02926,RPL18,10.689871,1.1352891780207879e-26,2.4713263154566803e-24,15.538676,SAMD3,7.0341463,2.0048461198762584e-12,4.582409947997168e-10,3.3746617,HLA-E,11.135695,8.408568095027699e-29,1.7740785054647674e-26,18.748377,YBX1,14.454847,2.3364612051227816e-47,8.215956145398418e-45,15.837361,TYMP,5.638146,1.7189075248850402e-08,6.203446788493011e-06,8.15319,NGFRAP1,5.184776,2.162749861211221e-07,3.378572299588012e-05,36.24106
34,RPS28,23.157372,1.2252582759011975e-118,3.734042665713116e-116,18.063286,RAC1,21.79811,2.4179868549085737e-105,6.632054345643236e-103,10.789217,SNX2,10.305059,6.685011700978031e-25,1.3286702966262712e-22,4.7859783,DUSP2,6.8183827,9.207096185522427e-12,2.0699363457090912e-09,4.1868534,PTPRCAP,11.122015,9.803271490603838e-29,2.037000988214258e-26,12.031276,S100A6,14.143621,2.044833354865189e-45,6.839718202102732e-43,31.758314,SPI1,5.592428,2.239156066117722e-08,7.8737913565996e-06,4.2612786,GRAP2,5.158493,2.489451737867039e-07,3.793371237012064e-05,40.65086
35,RPL14,22.193232,3.9924131856910154e-109,1.140665717261804e-106,24.285011,PYCARD,21.718803,1.3628306133442568e-104,3.5942036598852185e-102,9.376274,LY86,10.2078,1.8296658831498866e-24,3.584576845931078e-22,4.582587,CALM1,6.6640816,2.6632592678017905e-11,5.533929939186932e-09,5.266727,CCL5,10.79507,3.631879812241328e-27,7.015154893672898e-25,36.357548,HCK,14.101916,3.6959584871591986e-45,1.2068184450690773e-42,7.5794516,SRGN,5.5681925,2.5739545902028614e-08,8.549203725228638e-06,12.876278,CTSA,5.1205297,3.0467889606750526e-07,4.398280400705018e-05,34.056076
36,RPLP0,21.997736,3.0271531339073524e-107,8.472322056817435e-105,18.336958,LGALS3,21.380625,2.02405346529525e-101,5.140346152418344e-99,11.142167,RPL10A,9.9861555,1.7524753484424748e-23,3.3849925251464927e-21,16.729273,MYL12B,6.4173846,1.3863516779761563e-10,2.7508930457237844e-08,4.011935,IFITM2,10.629227,2.1791166227614794e-26,4.093754159527525e-24,12.147908,IFI30,13.871833,9.38478082126792e-44,2.797888786584092e-41,8.759793,RNF130,5.565218,2.618248187688514e-08,8.549203725228638e-06,4.094365,ILK,5.081471,3.745236320408388e-07,5.241037846742922e-05,30.173786
37,RPS10,21.931515,1.300267210716077e-106,3.566372905552056e-104,20.178,TKT,21.188524,1.2185548760215166e-99,3.038411194501651e-97,9.668282,RPS27,9.980212,1.8606828419533685e-23,3.5440839575761796e-21,29.82636,CD53,6.415444,1.4041309114821708e-10,2.7508930457237844e-08,2.9814403,HCST,10.584575,3.5137262846752806e-26,6.5117894956806485e-24,10.925826,MYL6,13.6177635,3.1403963414229814e-42,8.613479085254954e-40,17.78067,GAPDH,5.524458,3.305048397479482e-08,1.0540798540240375e-05,15.971815,NCOA4,5.035476,4.766619560309468e-07,6.472219866344955e-05,63.426834
38,IL32,21.82112,1.46234794981983e-105,3.932282310554735e-103,10.818992,CD68,21.050865,2.24539866388309e-98,5.219219877371643e-96,9.19626,SNHG7,9.807331,1.047011103238797e-22,1.9144947026422485e-20,4.454817,ANXA1,6.3174286,2.6595148835698885e-10,5.065637099066312e-08,5.311057,CD99,10.544394,5.391972725262644e-26,9.729672888717356e-24,8.678989,FKBP1A,13.513283,1.305666376652609e-41,3.4434439787334384e-39,9.72934,CD33,5.457919,4.817467531911906e-08,1.5015170393781791e-05,4.341956,TMSB4X,5.0124793,5.37331993356905e-07,7.154340734851064e-05,727.26825
39,IL7R,21.775349,3.97429329754283e-105,1.0481434285096609e-102,7.7646804,NEAT1,20.987606,8.512570581780727e-98,1.9456898826423484e-95,13.585351,PTPRCAP,9.755329,1.7503120640335415e-22,3.0774076469430756e-20,7.8427024,CCL4,6.302184,2.9347988634143607e-10,5.5134015908033624e-08,3.5261385,IGFBP7,10.522633,6.794785573197221e-26,1.21017778377697e-23,13.478111,BID,13.317612,1.8286329570878812e-40,4.5596131588187644e-38,7.015992,ACTG1,5.444149,5.205368670552345e-08,1.555724647477722e-05,13.736788,TUBA4A,5.009924,5.445156153415813e-07,7.180276104610045e-05,50.452843
40,RPL10,21.662739,4.6098996409032995e-104,1.1928332768933557e-101,56.444088,CEBPD,20.648466,1.007695106530744e-94,2.1935763001527974e-92,9.484798,CD52,9.732815,2.1846280786909487e-22,3.792403730527553e-20,11.231904,DDX5,6.0652733,1.3172957557464902e-09,2.2302955548527611e-07,3.9366748,CTSC,10.340793,4.607090108118396e-25,7.612245029245263e-23,6.1212096,NEAT1,13.297192,2.403274329374208e-40,5.782193711059279e-38,13.831257,FCER1G,5.443708,5.218268469007964e-08,1.555724647477722e-05,7.0544868,FKBP1A,4.9934974,5.929560713223335e-07,7.722916687001248e-05,27.180187
41,RPL5,21.648754,6.244671749621844e-104,1.5859153402650736e-101,21.011925,SERPINA1,20.349607,4.680012031389663e-92,9.724497727042096e-90,8.607897,IRF8,9.641574,5.336341200967621e-22,8.817178702418066e-20,6.338667,C12orf75,6.0539107,1.4137091144530865e-09,2.3643422921475157e-07,3.014779,RAP1B,10.256067,1.111412874210368e-24,1.8145138282048793e-22,6.5123196,LY6E,13.290871,2.615171303618602e-40,6.183527458245778e-38,14.367484,LAP3,5.409668,6.31417699901024e-08,1.8252164462257192e-05,3.243194,CDKN2D,4.9883866,6.08855597324979e-07,7.731338575661816e-05,34.96208
