,CD4 T,CD14 Monocytes,B,CD8 T,NK,FCGR3A Monocytes,Dendritic,Megakaryocytes
209,VPS28,CLTA,STAU1,TEX264,ANAPC16,HSP90AA1,TCL1A,CTNNAL1
210,ETHE1,YWHAE,ANXA6,SERINC1,PSMA1,RPSAP58,NDUFA11,ENKUR
211,TMEM59,CCNI,C1QBP,ANAPC13,EIF6,NDUFA5,SEC11C,MAD2L1BP
212,GLOD4,DDX5,C16orf74,ERGIC3,ATP5G2,RHOB,COPE,LDLRAP1
213,CHURC1,SMIM7,POU2F2,HSP90B1,IL2RG,ANXA5,TRMT112,ATP5I
214,AIF1,SCO2,MRPS18A,BTN3A2,OSTF1,EIF2S2,ATP6V1E1,RAB4A
215,FAM96A,RPS13,POU2AF1,CCT5,APRT,MOB1A,RPS11,INSIG1
216,HP1BP3,BNIP3L,EIF3J,TOMM7,DDX5,SEPT9,C1orf43,SOD2
217,MPHOSPH8,FAM50A,C11orf31,RPS27,ARRDC2,CYTIP,PYCARD,GNAZ
218,SRRM2,RPL4,SCPEP1,KLRB1,MAP2K3,SPRTN,MIR24-2,RTF1
219,MRPS21,CLEC7A,DYNLRB1,PNISR,PFN1,C19orf38,SDHD,RBCK1
220,FOSB,KLF2,C11orf73,ID2,ZAP70,CALM3,SNRPD1,NDNL2
221,BZW1,EWSR1,CALM2,TMEM66,RPS5,PTGES3,GABARAPL2,RPS7
222,SDHB,RPS20,LY6E,RPS19BP1,RPL37,NUP50,CIRBP,CBX3
223,DEGS1,IL17RA,SMDT1,ZNF92,INPP4A,GUK1,PSMB10,SEC61B
224,THEM4,JUND,CNBP,AQP3,CYTIP,FKBP8,AKAP8,C16orf13
225,PIM2,DOK2,HCK,C16orf13,BCAP31,ZNHIT3,APLP2,GTPBP2
226,TRAPPC3,CTSH,ZFAS1,MRPL55,PSMD9,TUBB,MESDC2,CCNDBP1
227,GBP1,CALHM2,CIRBP,CD44,CDC42SE1,GLRX,TPM3,PSMB9
228,ANP32B,NDUFS7,WBP2,BTF3,SDF4,OSCAR,THOC6,CD27-AS1
229,IRF7,CASP1,CD40,HAUS1,PDCD6,MX1,CNDP2,CYB5R1
230,WHSC1L1,ASGR1,RGS2,ECHS1,CARD16,LYN,BLVRB,EXOSC7
231,PSMB8,DHPS,TNFRSF17,DCAF11,RAMP1,MT-ND2,MRPL55,XPNPEP1
232,RPS27,EIF5,CD19,HTATIP2,LSM4,CAMK1,AMICA1,PKM
233,ARPC5,TKT,LBH,TECR,MSN,BAX,EIF4A3,RAB27B
234,SH3KBP1,SUPT4H1,YBX3,TMBIM6,ARL4C,TMEM123,LAMTOR2,FKBP11
235,KARS,CXCR4,FCN1,FLOT1,SLC38A2,COX6B1,ID1,RPLP2
236,SELPLG,PSMB6,RABAC1,SAMD3,HSH2D,ENY2,RPL39,PTPN6
237,ANAPC11,NCKAP1L,CMPK1,OST4,PRDX1,SH3KBP1,PSMB8,WBP2
238,ARHGAP30,ZFP36L2,ARPC2,RPL31,RAN,RAB11B,TPGS1,PTGS1
239,TMC6,FOSB,DPY30,RPSAP58,RER1,LYST,DDX46,CHMP6
240,EBPL,ANXA4,SNAP23,PPP2R5A,RPL23,CMTM3,TNRC6B,TPM3
241,CD27,RILPL2,TMEM243,SFT2D1,BAZ1A,IFI44L,PHACTR1,CHMP2A
242,IL10RA,BUD31,LTA4H,RNPEPL1,TAGLN2,GPS1,DGUOK,CAPZA2
243,EEF1G,IFI30,TTN-AS1,MANF,STMN1,STX8,TSPAN13,PSMD7
244,YWHAZ,SNRPD1,MIS18BP1,MRPS16,LRCH4,MRPS16,RPS6KA1,EPB41
245,LSP1,CD97,HLA-DMA,STK11IP,RPL12,VAMP5,PFN1,SNN
246,PIGT,VIM,WARS,RPN2,COMMD10,PQLC3,LRRC26,SNX3
247,ARL6IP5,EGLN2,VAPA,GSTO1,SERBP1,ICAM2,RPS6KA4,TMCC2
248,UBE2B,PHPT1,MED9,COPS6,GLTSCR2,PRPF18,C21orf2,ABCC3
249,MYADM,CNPY2,ARHGAP24,LTB,ESYT1,PHKG2,ZNF706,USF2
250,KLF6,SNX3,ANKAR,PILRB,LAPTM4A,IL10RA,MT-ND5,TMPO
251,PTPN2,TUBA1A,AIM2,IFI27,TMEM160,ALDOA,ANP32B,GAS2L1
252,ICAM3,NDUFB9,UQCRC2,HENMT1,PPIB,LAMTOR4,COMMD3,MT-ND5
253,GYG1,CD52,DCK,GABARAP,UFC1,IL4R,PARK7,NUDT1
254,GRAP2,ZFAND5,TSPAN3,KLHDC2,PPM1K,TMSB10,DCPS,RNF11
255,TNFRSF4,BLOC1S1,CIRH1A,CORO1A,SLC9A3R1,MPC1,ARL6IP4,GALNT10
256,NR3C1,SSR2,SPIB,SPCS2,PRMT2,PSMD11,CCDC88A,MIR4435-1HG
257,SNF8,RAB24,SEC62,GADD45GIP1,TMC6,TXNDC12,IFI44L,MOB1A
258,SRP9,FAM107B,FAM207A,P4HB,GCHFR,FRG1,MCL1,SCGB1C1
259,NELFB,TSC22D4,RPL13,CNN2,TMEM173,SULT1A1,POLR2L,BRK1
260,IK,CCT5,CKS1B,PRR4,LUC7L3,IK,NDUFC2,NEXN
261,CCM2,PRDX6,MRPL20,ATXN3,CD53,NAPRT1,PPM1K,GNB5
262,APEX1,CECR1,UIMC1,GPKOW,TADA3,AKAP13,NDUFV2,DBNL
263,PCNP,SERP1,TAF7,TUBA1B,SMARCA4,TPP1,ACTR1A,RNF115
264,SUPT4H1,C11orf73,PBXIP1,FAM96B,HAVCR2,SPI1,MSRB2,C6orf25
265,UXS1,GTF3A,EMP3,C1QBP,GNAI2,ARFGAP3,ADI1,SKP1
266,TRADD,NR4A1,C19orf43,PSMB2,POP5,ZYX,HSPE1,ZNF524
267,EEF1D,SIRPA,MRPL45,UNC45A,AOAH,TMEM59,GNB1,C19orf43
268,MAEA,RBCK1,ATP5O,MYL6,RPL4,AKR1A1,KDELR2,DRAP1
269,NOP56,BRK1,RPL10,CLEC2B,BEST1,VKORC1,UCHL3,AGPAT1
270,FYN,CARS2,ATP5J,SDHAF1,YWHAZ,FAM49A,SLC20A2,LAMTOR4
271,CSRNP1,TIMP1,FCGR2B,UBE2I,PDIA3,ATP5EP2,FDFT1,GMFG
272,OAS1,SEPW1,ARL14EP,PDAP1,MTDH,COPS6,PTPRC,IFRD1
273,XRRA1,RENBP,ADAM28,AAK1,RAC1,DNAJC15,SULF2,TXNL4B
274,NUDT1,FLYWCH2,HIGD2A,SUN2,EPC1,RIN3,COX6A1P2,COX6A1
275,ITGB1,CAPZA2,PRKCB,HNRNPK,CX3CR1,TPGS1,RNF7,KLF9
276,TGFBR2,IGSF6,EIF5A,ALDOA,VPS28,LYSMD2,CD1C,NAPSA
277,MYL12B,PLAUR,PABPC4,NDUFA11,SSB,ANP32E,PHB,THYN1
278,TXNDC12,CHCHD5,BTN3A2,HNRNPH1,ATP5SL,ADRBK1,PFDN2,BCAP31
279,PRPF19,CHMP4A,PPP1R2,TOB1,ARL6IP1,NUP214,C14orf1,PRDM1
280,MORF4L1,SERPINB1,MT-CO2,PLEK,FAM96B,SERBP1,SON,GNAS
281,POLE4,SRM,MRPL40,SNX17,CAP1,PDCD5,COX4I1,SF3A1
282,HNRNPA3,RGCC,PYCARD,CLN3-1,SEC62,TAX1BP1,MORF4L1,SNCA
283,VPS26B,RPLP0,MRPL48,FAM98A,PLEK,ACADVL,IMPA2,AL928768.3
284,PMVK,BLOC1S4,AC079767.4,AP3S1,ARHGEF3,IRF1,GAS6,FCGR3A
285,LPAR6,GAPDH,PPAPDC1B,LAPTM5,ARF4,MED10,HSP90B1,RNF10
286,LARS,ZSWIM7,EHD1,NDUFA6,RUNX3,VBP1,GINM1,C10orf54
