,CD4 T_names,CD4 T_scores,CD4 T_pvals,CD4 T_pvals_adj,CD4 T_logfoldchanges,CD14 Monocytes_names,CD14 Monocytes_scores,CD14 Monocytes_pvals,CD14 Monocytes_pvals_adj,CD14 Monocytes_logfoldchanges,B_names,B_scores,B_pvals,B_pvals_adj,B_logfoldchanges,CD8 T_names,CD8 T_scores,CD8 T_pvals,CD8 T_pvals_adj,CD8 T_logfoldchanges,NK_names,NK_scores,NK_pvals,NK_pvals_adj,NK_logfoldchanges,FCGR3A Monocytes_names,FCGR3A Monocytes_scores,FCGR3A Monocytes_pvals,FCGR3A Monocytes_pvals_adj,FCGR3A Monocytes_logfoldchanges,Dendritic_names,Dendritic_scores,Dendritic_pvals,Dendritic_pvals_adj,Dendritic_logfoldchanges,Megakaryocytes_names,Megakaryocytes_scores,Megakaryocytes_pvals,Megakaryocytes_pvals_adj,Megakaryocytes_logfoldchanges
22,RPL23A,24.799274,9.128122198993709e-136,4.172768927899991e-133,35.330223,PSAP,25.854769,2.1504654750663325e-147,1.1342878278869108e-144,19.038597,LTB,13.799104,2.5804127877275103e-43,9.829939158581966e-41,15.920677,GZMH,9.726211,2.3311591267018196e-22,1.2295967793687982e-19,13.850254,HOPX,12.661158,9.705789414537932e-37,3.0954696751389116e-34,13.170162,SPI1,15.475123,5.1074950173957e-54,2.694007179560178e-51,10.74347,ANXA2,6.364451,1.95989317164696e-10,1.1199156231652671e-07,9.441889,H3F3A,5.3658333,8.057642346879807e-08,1.6492911514195473e-05,34.17995
23,RPL21,24.79528,1.0079949401185474e-135,4.459239551221213e-133,40.00857,FCER1G,25.608496,1.22691880113067e-144,6.231838681002225e-142,21.091171,BANK1,13.6591,1.7817327044865008e-42,6.2653031562379156e-40,8.043238,RARRES3,9.31985,1.1650487983513518e-20,5.509475593307048e-18,5.888443,PFN1,12.334747,5.887365024728426e-35,1.7552026945462093e-32,28.000893,ACTB,15.455028,6.978206688417292e-54,3.544412093516842e-51,98.60353,H2AFY,6.3139963,2.7192020047603897e-10,1.4916454517313593e-07,4.737353,PRDX6,5.272749,1.3439519548459475e-07,2.541958838067174e-05,29.740282
24,RPL13A,24.65417,3.3201870413837525e-134,1.4229076589230243e-131,69.42167,CYBA,25.30894,2.5465512305765994e-141,1.1641134525375828e-138,27.702042,HVCN1,13.259431,3.979040400524873e-40,1.2992514298285264e-37,6.8887486,MYL12A,8.663387,4.579497717076459e-18,1.7445342136662932e-15,6.3987617,ID2,12.257298,1.5353431704676728e-34,4.2970808652640135e-32,10.822933,TYROBP,15.426017,1.0941789140227996e-53,5.35913200961024e-51,43.890568,LGALS1,6.199978,5.647117652821477e-10,2.978637365030528e-07,26.03142,AP001189.4,5.2683687,1.3764141020895208e-07,2.541958838067174e-05,26.160196
25,RPS3A,24.533745,6.449462629523526e-133,2.680240318220777e-130,45.388985,NPC2,25.204405,3.5842262588768804e-140,1.5856154488463723e-137,16.321932,CXCR4,12.376777,3.490826246913752e-35,1.0185785351101104e-32,11.770372,HLA-E,8.611842,7.189598890807691e-18,2.5946883996983335e-15,8.363551,GZMH,11.97516,4.79515939137763e-33,1.2407701111953361e-30,13.9927435,TYMP,15.244717,1.7850691283928714e-52,8.160146008926613e-50,13.688066,GABARAP,6.1094236,9.999159934580276e-10,5.078832568253108e-07,7.1160617,ITGA2B,5.2669086,1.3874023973083816e-07,2.541958838067174e-05,41.3147
26,LTB,23.972363,5.402062330969378e-127,2.0022671028895688e-124,22.509527,CFD,24.38644,2.381897896559455e-131,9.60745522159305e-129,13.002874,LAPTM5,12.347938,4.997605136574829e-35,1.4278574342289002e-32,12.671424,CD3E,8.332784,7.896362330629556e-17,2.7072678250563437e-14,4.7595267,CD63,11.770416,5.54502610677596e-32,1.3579372862200983e-29,9.978776,MS4A7,15.226349,2.3643318045767085e-52,1.0459498828375802e-49,12.212711,LGALS2,6.026801,1.6723638482696436e-09,7.723452513606043e-07,7.291159,OST4,5.2605205,1.4364819925461082e-07,2.558430395555497e-05,29.547861
27,CD3E,23.857454,8.474267101629046e-126,3.0583183955721244e-123,7.8366585,GABARAP,23.712801,2.660470132236925e-124,9.601496682499259e-122,12.766907,RPL13A,12.305956,8.413462116672276e-35,2.3547391728172163e-32,52.65844,CD8B,7.799202,6.229991042467016e-15,1.779960357424847e-12,5.263498,XCL2,11.684527,1.5292832560609324e-31,3.679401855020988e-29,10.835888,RHOC,15.169192,5.656873109943721e-52,2.3508593281747938e-49,10.941381,ACTB,6.025149,1.6895404361104074e-09,7.723452513606043e-07,70.50216,TUBB1,5.2555923,1.475486610608318e-07,2.5613700478332243e-05,94.56523
28,RPL35A,23.677334,6.174225845855387e-124,2.1711111089759175e-121,21.511913,GRN,23.573353,7.234084432256424e-123,2.5438008693324256e-120,11.365529,RPS8,12.140275,6.460876027048254e-34,1.7720890766987953e-31,22.518236,PFN1,7.677456,1.6227897324082643e-14,4.5418241612748854e-12,11.783381,CLIC3,11.552136,7.200749465501718e-31,1.6737470876252638e-28,12.112691,NPC2,15.135914,9.386728612185863e-52,3.7861645937504975e-49,12.827154,CTSH,5.980753,2.2210825502391536e-09,9.82578261096121e-07,4.185768,CLU,5.246832,1.5473715716594662e-07,2.619833794288632e-05,114.22818
29,RPSA,23.637838,1.574383564656499e-123,5.397774051424807e-121,23.92462,AP1S2,22.460941,1.000467483996334e-111,3.3464417257379816e-109,11.010755,RPL15,12.022328,2.712193206769656e-33,7.293140713262561e-31,23.20885,APOBEC3G,7.4497805,9.349562234620757e-14,2.5643979297117813e-11,5.144079,KLRD1,11.537698,8.517402300636105e-31,1.9467942525153924e-28,9.446349,LGALS1,15.008799,6.430214939633258e-51,2.5195419337751572e-48,31.378607,FCGRT,5.8958173,3.728310515417716e-09,1.597814075263705e-06,4.1719933,RUFY1,5.2165337,1.8230236405511038e-07,3.012162193556366e-05,33.99502
30,RPS20,23.576208,6.762094993763207e-123,2.261838310840698e-120,18.348732,CD14,22.267052,7.711101644703709e-110,2.459303440824806e-107,12.904342,ISG20,11.72651,9.322327693307052e-32,2.412196263887036e-29,7.281938,HOPX,7.4301925,1.0843974066898573e-13,2.915965889283275e-11,4.183282,MYL12A,11.531434,9.160469216296828e-31,2.053911838935919e-28,16.969955,STXBP2,14.988432,8.739257438257258e-51,3.3291715696738894e-48,9.715519,AP2S1,5.8147373,6.0729144782224835e-09,2.523756034980095e-06,4.4827085,ARPC5,5.205948,1.9300896288813363e-07,3.126297331056456e-05,28.700155
31,RPS4X,23.562786,9.283886945454207e-123,3.031410132618071e-120,33.866337,GAPDH,22.258663,9.297829954844956e-110,2.8979645454714485e-107,26.100264,RPL8,11.684452,1.5306354927726989e-31,3.887247249608295e-29,19.633835,CD2,7.4275565,1.1062218851214921e-13,2.9174474870300277e-11,3.5280075,PTPRCAP,11.530267,9.28558655490936e-31,2.053911838935919e-28,12.30954,TMSB4X,14.761266,2.6034956768748637e-49,9.64982154396267e-47,158.97063,CAPG,5.7804766,7.448926231505922e-09,2.9187021239677778e-06,5.026768,MPP1,5.205218,1.9376934019235725e-07,3.126297331056456e-05,33.538464
32,RPS13,23.552118,1.1941344964152519e-122,3.808455926474132e-120,22.756655,MS4A6A,22.212612,2.594141769867582e-109,7.905791162658672e-107,13.392423,FCER2,11.354576,7.038065242714999e-30,1.7549095770653364e-27,9.583455,UBC,7.0103273,2.377614306008799e-12,5.526542812305876e-10,5.2243137,APMAP,11.437742,2.7084309913469956e-30,5.895781367513126e-28,7.7139106,ARPC3,14.741871,3.470341508840833e-49,1.252427985585347e-46,19.289106,ARPC1B,5.6641445,1.4775987166754415e-08,5.476699675807299e-06,9.536149,ARPC1B,5.1931715,2.0674155987880343e-07,3.296806688578965e-05,75.138405
33,RPL11,23.340567,1.718346554640861e-120,5.355773784169265e-118,40.926888,TSPO,22.139704,1.3109509835882273e-108,3.908343867158467e-106,12.02926,RPL18,10.689871,1.1352891780207879e-26,2.4713263154566803e-24,15.538676,DUSP2,6.872724,6.298723723669593e-12,1.4396782857734135e-09,4.190286,HLA-E,11.383437,5.056647004858715e-30,1.0835446410098816e-27,20.348398,YBX1,14.454847,2.3364612051227816e-47,8.215956145398418e-45,15.837361,TYMP,5.638146,1.7189075248850402e-08,6.203446788493011e-06,8.15319,NGFRAP1,5.184776,2.162749861211221e-07,3.378572299588012e-05,36.24106
34,RPS28,23.038633,1.9122913131162516e-117,5.827814015128061e-115,17.97885,RAC1,21.79811,2.4179868549085737e-105,6.632054345643236e-103,10.789217,SNX2,10.305059,6.685011700978031e-25,1.3286702966262712e-22,4.7859783,SAMD3,6.745057,1.5296661705329156e-11,3.438990469293181e-09,3.27338,HCST,10.9407215,7.361203165011609e-28,1.5067394060443165e-25,11.140246,S100A6,14.143621,2.044833354865189e-45,6.839718202102732e-43,31.758314,SPI1,5.592428,2.239156066117722e-08,7.8737913565996e-06,4.2612786,GRAP2,5.158493,2.489451737867039e-07,3.793371237012064e-05,40.65086
35,RPL14,22.14046,1.289186138293862e-108,3.683312229283755e-106,24.087383,PYCARD,21.718803,1.3628306133442568e-104,3.5942036598852185e-102,9.376274,LY86,10.2078,1.8296658831498866e-24,3.584576845931078e-22,4.582587,MYL12B,6.5616274,5.3223700477592865e-11,1.1585870291265215e-08,4.097605,CCL5,10.922248,9.023425772328479e-28,1.8198126623781287e-25,36.80332,HCK,14.101916,3.6959584871591986e-45,1.2068184450690773e-42,7.5794516,SRGN,5.5681925,2.5739545902028614e-08,8.549203725228638e-06,12.876278,CTSA,5.1205297,3.0467889606750526e-07,4.398280400705018e-05,34.056076
36,RPLP0,22.071667,5.916890531917904e-108,1.6560048317290233e-105,18.40423,LGALS3,21.380625,2.02405346529525e-101,5.140346152418344e-99,11.142167,RPL10A,9.9861555,1.7524753484424748e-23,3.3849925251464927e-21,16.729273,CALM1,6.408451,1.4700520931747764e-10,3.020222831242519e-08,5.091238,RARRES3,10.899316,1.161269335906728e-27,2.2750925246606954e-25,8.781888,IFI30,13.871833,9.38478082126792e-44,2.797888786584092e-41,8.759793,RNF130,5.565218,2.618248187688514e-08,8.549203725228638e-06,4.094365,ILK,5.081471,3.745236320408388e-07,5.241037846742922e-05,30.173786
37,RPS10,21.89938,2.6333695322366093e-106,7.222805953018572e-104,20.172205,TKT,21.188524,1.2185548760215166e-99,3.038411194501651e-97,9.668282,RPS27,9.980212,1.8606828419533685e-23,3.5440839575761796e-21,29.82636,CD53,6.3211365,2.5964650171433373e-10,5.015200175366722e-08,2.9091563,CD99,10.749302,5.971172379634736e-27,1.1066034866798752e-24,8.577049,MYL6,13.6177635,3.1403963414229814e-42,8.613479085254954e-40,17.78067,GAPDH,5.524458,3.305048397479482e-08,1.0540798540240375e-05,15.971815,NCOA4,5.035476,4.766619560309468e-07,6.472219866344955e-05,63.426834
38,IL7R,21.739126,8.755102229744648e-105,2.354264156445453e-102,7.758656,CD68,21.050865,2.24539866388309e-98,5.219219877371643e-96,9.19626,SNHG7,9.807331,1.047011103238797e-22,1.9144947026422485e-20,4.454817,CCL4,6.247448,4.1721259862686106e-10,7.837881613107907e-08,3.5453537,IFITM2,10.71002,9.134181720992512e-27,1.670215574955884e-24,12.04973,FKBP1A,13.513283,1.305666376652609e-41,3.4434439787334384e-39,9.72934,CD33,5.457919,4.817467531911906e-08,1.5015170393781791e-05,4.341956,TMSB4X,5.0124793,5.37331993356905e-07,7.154340734851064e-05,727.26825
39,IL32,21.718204,1.3806993577073057e-104,3.641329036845767e-102,10.767981,NEAT1,20.987606,8.512570581780727e-98,1.9456898826423484e-95,13.585351,PTPRCAP,9.755329,1.7503120640335415e-22,3.0774076469430756e-20,7.8427024,ANXA1,6.200891,5.614434691757708e-10,1.0404913157130433e-07,5.3157425,CTSC,10.646851,1.803635978194761e-26,3.1711620262773014e-24,6.300799,BID,13.317612,1.8286329570878812e-40,4.5596131588187644e-38,7.015992,ACTG1,5.444149,5.205368670552345e-08,1.555724647477722e-05,13.736788,TUBA4A,5.009924,5.445156153415813e-07,7.180276104610045e-05,50.452843
40,RPL5,21.692028,2.439905419311823e-104,6.3133703623476114e-102,21.077868,CEBPD,20.648466,1.007695106530744e-94,2.1935763001527974e-92,9.484798,CD52,9.732815,2.1846280786909487e-22,3.792403730527553e-20,11.231904,GIMAP7,6.030844,1.6310532670813976e-09,2.761514136389418e-07,2.2489805,IGFBP7,10.456493,1.3682590533188855e-25,2.3752284376221766e-23,13.216552,NEAT1,13.297192,2.403274329374208e-40,5.782193711059279e-38,13.831257,FCER1G,5.443708,5.218268469007964e-08,1.555724647477722e-05,7.0544868,FKBP1A,4.9934974,5.929560713223335e-07,7.722916687001248e-05,27.180187
41,RPL10,21.585388,2.464069125715721e-103,6.257822961123221e-101,56.124866,SERPINA1,20.349607,4.680012031389663e-92,9.724497727042096e-90,8.607897,IRF8,9.641574,5.336341200967621e-22,8.817178702418066e-20,6.338667,TIGIT,5.9962916,2.0187458624992498e-09,3.3762293607700867e-07,3.4032154,CLIC1,10.377399,3.1421911994722787e-25,5.255123184093028e-23,11.529537,LY6E,13.290871,2.615171303618602e-40,6.183527458245778e-38,14.367484,LAP3,5.409668,6.31417699901024e-08,1.8252164462257192e-05,3.243194,CDKN2D,4.9883866,6.08855597324979e-07,7.731338575661816e-05,34.96208
